[LoggerStatus.SUCCESS] | [+] Starting assembly. Options (True, True, True, True, True) | Sat Oct 19 13:56:26 2024
[LoggerStatus.SUCCESS] | [+] Create default directories | Sat Oct 19 13:56:26 2024
[LoggerStatus.SUCCESS] | [+] Copy Dotfiles & GTK | Sat Oct 19 13:56:26 2024
[LoggerStatus.SUCCESS] | [+] Updates Enabled | Sat Oct 19 13:56:27 2024
[LoggerStatus.SUCCESS] | [+] Installed BSPWM Dependencies | Sat Oct 19 13:56:31 2024
[LoggerStatus.SUCCESS] | Installed: tumbler | Sat Oct 19 13:57:56 2024
[LoggerStatus.SUCCESS] | Installed: ffmpegthumbnailer | Sat Oct 19 13:59:55 2024
[LoggerStatus.SUCCESS] | Installed: lsd | Sat Oct 19 13:59:59 2024
[LoggerStatus.SUCCESS] | Installed: alacritty | Sat Oct 19 14:00:06 2024
[LoggerStatus.SUCCESS] | Installed: bat | Sat Oct 19 14:00:14 2024
[LoggerStatus.SUCCESS] | Installed: brightnessctl | Sat Oct 19 14:00:16 2024
[LoggerStatus.SUCCESS] | Installed: calc | Sat Oct 19 14:00:20 2024
[LoggerStatus.SUCCESS] | Installed: automake | Sat Oct 19 14:00:20 2024
[LoggerStatus.SUCCESS] | Installed: blueman | Sat Oct 19 14:01:02 2024
[LoggerStatus.SUCCESS] | Installed: bluez | Sat Oct 19 14:01:03 2024
[LoggerStatus.SUCCESS] | Installed: bluez-utils | Sat Oct 19 14:01:09 2024
[LoggerStatus.SUCCESS] | Installed: dunst | Sat Oct 19 14:01:13 2024
[LoggerStatus.SUCCESS] | Installed: fakeroot | Sat Oct 19 14:01:13 2024
[LoggerStatus.SUCCESS] | Installed: feh | Sat Oct 19 14:01:19 2024
[LoggerStatus.SUCCESS] | Installed: firefox | Sat Oct 19 14:02:00 2024
[LoggerStatus.SUCCESS] | Installed: fish | Sat Oct 19 14:02:04 2024
[LoggerStatus.SUCCESS] | Installed: dpkg | Sat Oct 19 14:02:09 2024
[LoggerStatus.SUCCESS] | Installed: gcc | Sat Oct 19 14:02:10 2024
[LoggerStatus.SUCCESS] | Installed: gedit | Sat Oct 19 14:02:24 2024
[LoggerStatus.SUCCESS] | Installed: git | Sat Oct 19 14:02:24 2024
[LoggerStatus.SUCCESS] | Installed: gnu-netcat | Sat Oct 19 14:02:29 2024
[LoggerStatus.SUCCESS] | Installed: htop | Sat Oct 19 14:02:34 2024
[LoggerStatus.SUCCESS] | Installed: btop | Sat Oct 19 14:02:38 2024
[LoggerStatus.SUCCESS] | Installed: nano | Sat Oct 19 14:02:41 2024
[LoggerStatus.SUCCESS] | Installed: lxappearance | Sat Oct 19 14:02:47 2024
[LoggerStatus.SUCCESS] | Installed: mat2 | Sat Oct 19 14:02:58 2024
[LoggerStatus.SUCCESS] | Installed: mpd | Sat Oct 19 14:03:30 2024
[LoggerStatus.SUCCESS] | Installed: mpv | Sat Oct 19 14:03:39 2024
[LoggerStatus.SUCCESS] | Installed: thunar | Sat Oct 19 14:03:50 2024
[LoggerStatus.SUCCESS] | Installed: ncmpcpp | Sat Oct 19 14:03:58 2024
[LoggerStatus.SUCCESS] | Installed: neofetch | Sat Oct 19 14:04:01 2024
[LoggerStatus.SUCCESS] | Installed: network-manager-applet | Sat Oct 19 14:04:15 2024
[LoggerStatus.SUCCESS] | Installed: nitrogen | Sat Oct 19 14:04:25 2024
[LoggerStatus.SUCCESS] | Installed: pamixer | Sat Oct 19 14:04:28 2024
[LoggerStatus.SUCCESS] | Installed: papirus-icon-theme | Sat Oct 19 14:04:52 2024
[LoggerStatus.SUCCESS] | Installed: pavucontrol | Sat Oct 19 14:05:22 2024
[LoggerStatus.SUCCESS] | Installed: polybar | Sat Oct 19 14:05:29 2024
[LoggerStatus.SUCCESS] | Installed: autoconf | Sat Oct 19 14:05:29 2024
[LoggerStatus.SUCCESS] | Installed: mpc | Sat Oct 19 14:05:31 2024
[LoggerStatus.SUCCESS] | Installed: pulseaudio | Sat Oct 19 14:05:43 2024
[LoggerStatus.SUCCESS] | Installed: pulseaudio-alsa | Sat Oct 19 14:05:47 2024
[LoggerStatus.SUCCESS] | Installed: python-pyalsa | Sat Oct 19 14:05:49 2024
[LoggerStatus.SUCCESS] | Installed: ranger | Sat Oct 19 14:05:54 2024
[LoggerStatus.SUCCESS] | Installed: redshift | Sat Oct 19 14:05:57 2024
[LoggerStatus.SUCCESS] | Installed: reflector | Sat Oct 19 14:05:59 2024
[LoggerStatus.SUCCESS] | Installed: rofi | Sat Oct 19 14:06:04 2024
[LoggerStatus.SUCCESS] | Installed: rofi-calc | Sat Oct 19 14:06:10 2024
[LoggerStatus.SUCCESS] | Installed: calcurse | Sat Oct 19 14:06:13 2024
